treeID,x,y
3933,138,111
3934,147,115
3935,157,119
3936,176,124
3938,215,129
19197,31,37
19204,32,52
19205,32,59
19206,33,69
19207,39,70
19208,63,93
19209,100,122
19210,122,136
19217,64,2
19218,63,18
19219,62,36
19220,62,48
19222,212,149
19226,222,159
55087,33,17
70054,214,134
70055,214,136
70056,214,138
71856,97,82
71857,100,82
71858,114,96
71859,116,98
71860,118,101
71861,121,103
71862,122,103
71863,123,105
71864,124,106
71865,128,106
71866,135,111
71867,140,113
71868,141,112
71869,143,114
72204,162,207
72205,157,215
72206,126,212
