treeID,x,y
7272,142,87
7273,139,92
7274,136,99
7275,133,108
7276,131,112
7277,128,119
7278,124,126
7279,122,133
7280,118,142
7281,116,149
7282,103,176
7283,112,185
7284,109,192
7285,101,193
7286,107,195
7287,106,200
7288,99,204
7289,100,213
7296,90,109
7297,79,146
7298,69,175
12664,152,14
12665,152,39
12666,152,65
12667,152,100
38446,204,24
38455,27,15
38456,8,28
46507,102,77
69665,111,53
69666,111,160
69667,115,172
70236,178,12
70237,178,26
70238,178,42
70239,178,58
70240,178,70
70241,179,194
70242,179,208
70243,205,219
70244,205,191
