treeID,x,y
6487,11,205
6488,33,204
6489,205,203
6491,170,213
26349,144,213
26351,100,204
26353,172,119
26354,172,95
26356,147,100
26357,147,84
26358,149,35
26359,174,30
26361,174,14
44730,150,18
44731,148,51
44732,173,67
47192,148,75
48353,55,203
48881,173,47
49210,46,179
49211,59,179
49212,85,179
49498,170,147
49499,171,144
49500,171,136
49842,200,178
50320,133,204
51273,132,179
51853,145,167
51854,145,151
51855,145,136
54453,146,114
54454,145,159
66374,185,178
66375,150,3
66377,170,154
66378,170,163
