treeID,x,y
38148,35,177
38149,38,160
38150,61,190
38151,64,167
38152,41,145
38153,43,129
38154,71,119
38155,48,99
38156,51,83
38158,54,52
38159,29,34
38160,4,30
38163,164,56
38164,143,53
38165,108,47
43415,141,32
43416,108,27
43417,87,23
43419,35,15
45196,32,198
46737,216,203
46822,56,219
47645,71,2
48160,30,213
48171,79,69
50905,52,68
51843,67,149
51846,219,184
53678,215,64
53679,202,62
53680,184,59
55275,220,45
55276,202,40
74832,175,38
74854,69,131
76165,75,97
76166,76,90
76313,5,10
76314,82,54
76315,41,141
77662,58,205
