treeID,x,y
34871,27,7
34872,36,28
34873,39,33
34874,40,37
34876,52,63
34878,59,79
34879,62,90
34881,73,124
34882,75,126
34883,77,136
34884,79,138
34885,79,142
34886,79,144
34887,81,149
34888,82,154
34889,83,158
34890,87,173
34891,85,164
34892,88,176
34893,88,179
34894,90,183
34896,92,192
34897,93,199
34898,95,207
34899,97,214
34900,98,220
34901,100,223
51826,54,126
52258,25,1
69220,69,102
69221,70,108
69222,71,117
72657,6,4
72658,17,26
72659,28,58
72660,40,83
72661,41,89
72662,61,151
72663,64,165
72664,65,168
72665,68,178
72666,76,216
