treeID,x,y
31754,168,110
31755,168,97
31756,165,72
31757,162,60
31758,140,61
31759,138,52
31760,133,42
31761,128,33
31762,126,21
31763,154,38
31764,151,31
31765,147,22
31766,122,11
31767,120,0
31770,142,0
41372,42,173
41373,75,172
41374,88,172
41375,148,164
41376,148,154
41377,148,139
41378,148,111
41379,147,98
41380,146,84
41381,144,74
41382,185,172
41383,169,164
41384,169,157
41385,169,153
41386,168,138
41387,199,172
41388,214,172
51803,6,209
51804,23,209
51805,42,209
51806,59,209
51807,77,209
51808,96,209
51809,113,209
51810,131,209
51811,165,208
51812,180,208
51813,197,208
51823,167,83
54007,148,125
65552,103,172
65553,124,172
65556,136,47
65557,131,37
77493,33,209
77494,86,206
77495,189,208
82720,6,173
82721,22,172
