treeID,x,y
25754,82,70
25755,72,43
25756,58,5
25760,125,73
25761,134,47
25762,149,74
25763,165,48
25764,177,75
25765,209,72
36718,57,163
36719,177,165
36720,117,164
36728,190,164
36731,163,165
36734,197,163
36736,123,166
36737,183,165
36742,194,164
36743,98,165
36745,178,166
36747,149,164
36748,203,164
36751,219,164
36754,94,165
36756,175,165
36759,136,166
36760,187,164
36762,223,164
36763,129,165
36765,200,164
36768,111,164
36788,104,164
36799,69,166
36801,142,166
36802,180,165
36803,51,162
36810,64,165
36813,185,164
36822,167,165
36824,76,166
36830,157,164
36836,174,165
36841,84,165
36847,171,165
36851,222,164
36853,90,166
36861,207,164
46853,115,74
47000,111,48
47004,53,64
47005,27,87
49723,210,48
