treeID,x,y
13354,55,147
13361,45,211
13363,67,201
13364,49,176
13365,74,29
31611,86,85
31613,92,54
31614,94,40
41656,211,123
41657,193,120
41658,175,116
41659,159,115
41660,144,112
41661,127,109
41662,111,107
41663,93,104
41677,222,148
41678,203,144
41680,155,137
41681,139,134
41682,123,132
41683,105,129
41685,39,99
41686,35,119
41687,22,95
41688,7,93
41691,5,114
47037,73,170
47295,217,124
47296,201,121
47297,184,118
47298,166,115
47299,151,113
47300,135,110
47301,119,108
47302,102,105
47329,75,157
47885,68,63
48065,67,77
51571,30,97
64114,101,23
74841,29,118
