treeID,x,y
3228,197,219
3232,168,194
3233,163,182
3234,162,169
28886,90,223
45032,19,72
72957,29,111
72958,27,100
72959,25,88
72969,144,155
72976,192,157
72977,194,156
72978,196,156
72979,197,156
72980,198,156
72981,199,156
72982,200,155
72983,201,155
72984,202,156
72985,204,155
72986,205,156
72987,206,156
72988,207,156
72989,208,156
72990,209,156
72991,211,156
72992,212,156
73303,198,219
73304,197,217
73305,161,170
73306,160,170
73307,160,164
73309,181,178
73310,200,213
73311,199,212
73312,198,211
73313,198,210
73314,197,209
73315,196,208
73316,196,207
73317,195,206
73318,194,205
73319,194,204
73320,193,203
73321,192,202
73322,192,201
73323,191,200
73324,191,199
73325,190,198
73326,190,197
73327,189,195
73328,188,194
73329,187,192
73330,187,190
73331,186,189
73332,186,188
73333,185,186
73334,185,185
73335,184,183
73336,184,182
73337,184,180
73338,184,177
73339,184,166
