treeID,x,y
19370,118,100
19372,61,112
36217,183,20
36219,183,15
36220,178,29
36221,180,23
36222,175,33
36223,188,8
36224,190,2
36225,168,45
36226,170,41
36228,169,43
36231,173,38
36232,166,51
36233,164,52
36234,161,60
36235,167,154
36236,183,171
36237,194,184
36238,209,198
36239,96,130
36240,71,134
36241,24,144
36242,13,146
36243,193,53
36245,170,101
36251,223,216
43800,217,170
45009,220,0
45419,213,11
45420,210,19
45421,205,27
45422,198,45
69178,163,57
69179,164,56
69180,164,55
69181,166,47
70169,196,46
