treeID,x,y
35096,0,88
35097,1,122
35098,0,151
35102,2,196
35103,2,223
35106,40,186
35107,59,187
35108,27,196
35109,27,210
35110,27,223
35115,40,161
35116,59,162
35117,26,88
35118,27,152
35119,76,186
35120,79,161
35121,99,186
35122,114,187
35123,97,162
35124,133,186
35125,142,187
35126,131,161
35127,142,161
35128,162,187
35129,155,162
35130,167,161
35131,185,186
35132,190,162
35133,222,187
37243,26,11
37244,26,24
37245,25,55
37246,0,10
37247,0,25
44122,111,162
45924,1,135
47216,1,105
47576,219,162
51996,27,121
54848,27,104
54849,0,58
73608,25,65
77290,27,136
