treeID,x,y
8433,20,81
8435,72,52
8437,113,69
8438,129,75
18927,29,11
18928,220,115
25701,40,180
25702,19,165
25703,18,141
25704,19,126
25705,19,107
25706,41,201
25710,19,215
25711,66,179
25712,103,178
25713,131,200
25714,132,178
25715,162,199
25716,157,177
25717,194,177
45908,102,200
46685,214,198
51985,70,201
52409,191,198
66959,83,200
66961,200,105
66962,188,100
82642,15,6
82643,47,17
82644,71,25
82645,91,32
82646,113,40
82647,129,47
82648,147,55
82649,164,61
82650,178,68
82651,196,76
82652,213,83
