treeID,x,y
9509,161,38
35545,120,9
35547,123,215
39520,34,95
39521,82,95
39522,120,71
39523,120,149
43372,177,169
43373,216,169
43374,161,153
43375,185,192
43376,162,217
46141,159,11
46982,120,29
48266,123,197
68168,162,87
68169,163,86
68170,162,75
68186,166,202
68187,165,205
68188,165,206
68189,164,208
68190,165,209
68191,164,210
68192,164,211
68195,164,214
68196,164,216
68197,164,216
68202,164,219
68204,165,221
68205,165,222
68206,165,223
68233,170,196
68234,173,195
68235,173,197
68236,176,194
68237,176,196
68238,178,194
68239,180,194
68240,185,195
68241,189,195
68242,192,193
68243,192,194
68244,192,194
68245,192,195
68246,195,193
68247,197,194
68248,200,194
68250,203,194
82746,46,118
82747,78,118
82748,107,119
