treeID,x,y
41643,211,158
41644,195,155
41645,178,152
41646,161,150
41647,143,147
41648,127,144
41649,109,141
41650,91,139
41651,73,137
41652,56,133
41653,39,130
41654,21,128
41655,0,125
41665,207,181
41666,191,178
41667,173,175
41668,155,172
41669,138,169
41670,121,167
41671,104,164
41672,86,161
41673,68,159
41674,51,156
41675,50,156
47286,203,156
47287,186,153
47288,170,151
47289,152,148
47290,134,145
47291,118,143
47292,82,137
47293,64,135
47294,11,126
74869,61,157
74870,76,159
74872,110,164
76303,183,176
