treeID,x,y
11238,4,55
11240,90,80
11241,110,80
11242,126,80
11243,144,79
11244,131,55
11245,150,54
11246,163,55
11247,162,79
11248,186,79
11249,202,79
11250,202,54
11252,220,79
13733,39,218
13737,14,167
13738,39,160
13739,39,135
13740,13,132
13741,13,129
13742,13,107
13743,13,90
13746,39,198
13747,5,80
13748,39,102
13749,49,80
13750,66,81
13751,53,55
13752,67,55
13753,86,55
13755,114,55
13756,37,2
44475,13,33
44814,13,6
48031,39,180
50922,222,53
52116,187,54
53725,14,186
75074,151,79
75081,38,11
75082,39,27
