treeID,x,y
16712,196,142
16713,197,143
16714,198,144
16715,199,145
16716,194,146
16717,196,146
16718,189,151
16719,188,152
16720,188,153
16721,187,154
16722,187,155
16723,187,156
16724,186,158
16725,186,159
16726,185,160
16727,184,161
16728,184,162
16729,184,163
16730,183,165
16731,182,166
16732,181,168
16733,181,171
16734,180,172
16735,182,174
16736,179,174
16737,178,176
16738,178,177
16739,177,178
16740,177,179
16741,177,180
16742,172,191
16743,176,181
16744,176,182
16745,175,184
16746,175,185
16747,174,186
16748,174,187
16749,174,187
16750,173,188
16751,172,189
16752,169,197
16757,171,145
16758,167,142
16759,166,147
16760,90,223
16761,164,164
16762,158,180
16763,153,189
16764,149,191
16765,142,198
16766,134,205
16767,131,207
16768,115,214
16769,107,218
16770,99,220
16771,93,222
26750,187,51
26751,217,10
26752,207,34
26753,163,75
26754,148,75
26756,175,133
26757,149,54
26758,132,55
26759,114,57
26761,105,76
26763,29,61
36356,219,73
47066,192,151
72671,173,135
72672,171,138
72673,173,139
73392,223,81
73393,216,83
73395,217,99
73396,213,105
73397,212,106
73398,208,115
73399,203,126
73400,172,190
73401,172,190
73402,172,191
73403,172,191
73404,172,192
73405,171,192
73406,171,192
73407,171,193
73408,171,193
73409,170,193
73410,170,194
73411,170,194
73412,170,195
73413,169,195
73414,169,195
73415,169,196
73416,169,197
