treeID,x,y
6407,131,215
6408,131,192
6409,161,215
6412,219,215
22467,15,223
22468,32,213
22469,70,213
22470,102,213
22471,18,183
22472,18,162
22473,19,149
22474,25,193
22475,33,193
22476,41,193
22477,55,193
22478,83,192
22479,93,192
22480,106,192
22485,19,97
22486,19,84
22487,19,70
22488,18,51
22495,16,11
22497,45,19
33391,106,40
33392,133,40
33393,156,18
33394,173,40
33395,205,39
48824,121,19
52434,35,40
54013,19,112
64697,71,39
64698,61,40
64699,51,40
64720,202,215
64721,187,215
64722,71,192
75641,215,191
76234,175,191
76677,180,17
76678,194,17
77808,101,19
82777,211,17
