treeID,x,y
36169,7,1
36174,15,52
36175,19,61
36176,17,68
36178,23,85
36179,26,93
36180,25,97
36181,24,102
36193,0,102
36195,1,107
36196,2,112
36198,6,129
36200,9,160
36201,11,166
36202,8,171
36204,35,152
36205,38,153
36206,33,154
36207,46,215
69183,33,140
69185,36,155
69186,38,155
69187,36,157
69188,34,157
69189,34,159
69190,37,159
69191,39,160
69192,37,162
69193,34,163
69194,39,163
69195,37,165
69196,40,165
69197,36,168
69198,38,168
69199,41,169
69207,38,171
69208,36,172
69209,40,174
69210,38,175
69211,40,175
69212,42,175
69213,38,177
69248,1,122
70179,42,180
70180,44,198
70187,31,131
70188,33,132
70189,29,133
70190,31,134
70191,32,134
70192,33,135
70193,30,137
70194,33,137
70195,34,137
70196,31,139
