treeID,x,y
15372,199,222
15373,173,218
15374,171,28
15375,171,13
15376,171,5
15377,198,29
15378,198,16
15379,198,4
31985,27,114
31986,21,155
31987,65,113
31988,58,152
31989,104,113
31990,95,154
31991,140,112
31992,156,113
31993,122,153
31994,137,152
31995,149,152
31996,172,184
31997,207,111
31998,215,112
32000,199,103
32001,198,79
32002,198,54
32005,199,181
44007,170,70
44008,170,57
44364,129,113
44568,4,114
44570,78,114
52440,161,152
76597,198,93
76598,198,65
76599,171,165
76643,171,34
76644,171,9
