treeID,x,y
15964,171,189
15965,187,189
15967,223,166
23533,107,219
23534,107,200
23535,131,193
23536,149,191
23537,80,220
23538,80,204
23539,56,193
23540,70,192
23541,80,156
23542,82,139
23543,10,166
23544,27,165
23545,42,166
23546,54,164
23547,68,165
23549,122,166
23552,83,106
23553,108,113
23554,110,80
23555,114,60
23557,86,77
23558,88,54
23559,118,38
23560,101,2
23562,125,9
43604,217,192
50546,108,97
51898,190,167
51903,40,193
52131,9,192
82442,134,167
82443,144,166
82444,95,23
82630,107,143
