treeID,x,y
8273,86,128
8275,195,56
8276,195,54
8277,194,53
8278,194,51
8279,194,50
8280,193,48
8281,193,47
8282,193,46
8283,192,45
8284,192,44
8285,192,43
8286,192,41
8287,191,39
8288,190,37
8289,190,36
8290,190,35
8291,190,34
8292,190,33
8293,189,32
8294,189,31
8295,189,28
8296,188,27
8297,188,26
8298,188,25
8299,188,24
8300,187,23
8301,187,22
8302,186,21
8303,186,20
8304,185,19
8305,185,18
8306,185,16
8307,184,15
8308,183,14
8309,183,14
8310,182,13
8311,181,12
8312,180,11
8313,179,10
33691,117,5
73160,72,176
73161,72,171
73268,195,55
73269,193,43
73270,190,33
73271,189,30
73272,187,22
73273,177,9
73274,176,9
73275,175,9
73276,174,9
73277,173,9
73278,171,9
73279,169,9
73280,168,9
73281,167,9
73282,166,9
73283,165,9
73284,165,9
73285,163,10
73286,162,10
73287,161,10
73288,160,11
73289,159,11
73290,157,11
73291,155,11
73504,178,10
