treeID,x,y
3673,1,196
3675,6,164
3676,5,197
3677,19,197
3678,37,197
3679,36,164
3680,50,195
3681,72,196
3682,67,164
3683,104,197
3684,87,159
3685,87,161
3686,88,166
3687,90,163
3688,92,167
3689,93,164
3690,93,162
3691,93,159
3692,96,160
3693,99,160
3694,97,162
3695,96,166
3696,99,166
3697,100,162
3699,103,160
3700,103,165
3701,119,166
3702,128,162
3703,140,164
3704,145,197
3705,157,164
3706,175,198
3707,183,199
3708,193,198
3709,190,164
3710,204,164
3711,220,161
3712,214,199
3713,220,198
3714,223,161
48835,178,164
53602,159,164
66708,48,198
