treeID,x,y
35796,6,79
35797,6,109
35798,6,132
35808,38,172
35809,62,171
35810,82,172
35811,26,178
35812,26,207
35814,45,143
35815,62,143
35816,84,144
35817,32,108
35818,31,92
35819,31,79
35820,32,132
35821,99,143
35822,154,143
35823,171,143
35824,189,143
35825,202,143
35827,170,172
35829,205,170
35830,222,171
37256,31,12
37258,5,12
46812,222,144
49736,32,49
51988,6,97
53354,6,34
53355,6,71
54326,31,22
55479,99,171
55480,110,172
55481,117,171
55482,139,169
55483,139,172
55484,139,173
73644,138,143
77289,32,22
