treeID,x,y
19337,4,87
19341,18,97
19342,20,99
19343,23,102
19344,30,106
19345,32,108
19346,35,111
19350,44,116
19351,18,62
19352,103,124
19353,121,133
19354,50,120
19356,78,142
19358,92,150
19359,66,132
19361,146,176
19362,153,180
19363,177,191
19364,202,202
19365,213,209
19367,220,213
36391,165,154
36392,173,157
36393,179,160
36394,185,165
36395,194,169
36396,201,169
36398,210,174
36399,216,177
36400,219,178
46345,127,167
48942,33,74
72371,161,183
72372,162,184
72373,163,184
72374,165,185
72375,166,185
72376,167,186
72377,168,187
72378,169,187
72379,171,188
72380,172,189
72381,173,189
72382,174,190
72383,176,190
72384,179,192
72385,180,193
72386,181,193
72387,183,194
72388,190,197
72389,191,197
72390,192,197
72391,192,198
72392,193,198
72393,194,199
72394,195,199
72395,196,200
72396,197,200
72397,198,201
72398,199,201
72399,200,202
72400,203,203
72401,204,203
72539,142,144
72540,130,139
