treeID,x,y
19455,10,204
19456,50,204
19463,11,185
19464,53,183
26208,176,216
26211,55,203
26212,67,203
26213,70,203
26214,77,203
26215,82,203
26216,176,174
26217,175,160
26218,175,150
26219,175,144
26220,151,161
26221,151,149
26222,71,183
26223,85,183
26224,102,183
26225,126,183
26226,133,183
26227,151,134
26228,151,112
26229,151,124
26230,175,130
26232,151,100
26233,175,91
26234,150,71
26235,151,57
26236,175,64
26237,175,51
26238,175,37
26239,175,24
26241,175,11
44739,151,85
45191,151,215
45232,151,220
45233,150,212
45234,151,130
47197,174,1
47936,176,189
47937,175,117
50934,150,44
50935,150,33
50936,151,20
50937,151,9
65452,86,203
65453,91,202
65455,101,202
65456,104,202
65457,109,202
65458,116,202
65459,120,202
65460,127,203
65461,132,202
65462,137,202
65463,140,202
65464,143,202
65465,144,203
65466,151,210
