treeID,x,y
2722,221,53
2723,206,53
2724,191,53
2725,175,53
2726,162,53
2727,147,53
2728,133,53
2730,221,28
2731,206,27
2732,190,28
2733,175,27
2734,160,28
2735,147,28
2736,133,28
21489,63,8
21490,39,8
21491,27,7
21492,14,7
21493,2,7
31091,77,33
31092,78,45
31094,121,69
31095,123,107
31096,83,84
31097,85,92
31098,85,103
31099,86,114
31100,127,157
31101,129,171
31102,132,219
31103,90,190
49670,117,8
51640,132,205
51732,130,190
52304,88,142
53903,89,167
53904,91,211
69912,87,154
69913,124,87
69914,128,125
