treeID,x,y
33327,64,4
33328,60,0
33380,91,137
33381,38,23
33382,33,22
71383,169,142
71384,167,142
71385,168,143
71386,166,143
71387,164,144
71388,163,144
71389,162,145
71390,161,145
71391,160,145
71392,159,146
71393,158,146
71394,157,146
71395,155,146
71396,155,147
71397,154,147
71398,152,148
71399,151,148
71400,150,149
71401,150,148
71402,149,149
71403,148,149
71404,147,150
71405,146,150
71406,145,151
71407,143,151
71408,142,152
71409,141,152
71410,140,153
71411,140,152
71412,139,153
71413,139,152
71414,138,154
71415,136,154
71416,135,154
71417,193,151
71418,194,151
71419,195,152
71420,196,153
71421,196,153
71422,197,154
71423,198,154
71424,198,155
71425,199,156
71426,200,156
71427,201,156
71428,27,22
71430,25,24
71431,24,24
71432,22,25
71442,20,201
71443,22,202
71444,24,202
71445,28,204
71446,33,205
71447,38,208
71448,41,209
71449,61,216
