treeID,x,y
890,221,95
3735,162,91
13855,34,218
13856,72,51
13857,73,33
13858,154,68
13859,136,67
13860,102,66
13861,75,10
39160,219,73
39161,201,72
39162,195,70
39163,187,70
41614,166,222
41615,115,211
41616,131,174
41617,98,163
41618,68,119
41619,70,95
41620,95,204
41730,205,94
41731,185,92
41735,10,59
41736,45,39
43737,6,161
43830,34,106
43831,30,114
43832,24,113
44099,24,89
44100,12,116
54346,205,190
55703,47,7
75422,12,88
75423,7,105
75429,136,89
82673,18,59
82674,29,60
82703,214,191
82704,193,188
82705,158,182
82706,122,172
