treeID,x,y
14146,220,33
14147,164,118
14148,164,113
14149,169,104
14150,171,105
14151,171,99
47043,177,134
48611,175,95
48811,171,215
71576,95,176
71635,214,10
71636,216,10
71637,161,124
72474,171,213
72475,171,211
72476,171,209
72477,171,207
72478,172,205
72479,172,203
72480,172,201
72481,173,199
72482,173,198
72483,173,196
72484,173,195
72485,174,193
72486,174,191
72487,174,190
72488,174,188
72489,175,186
72490,175,185
72491,175,184
72492,175,183
72493,176,182
72494,176,182
72495,177,181
72496,178,180
72497,178,179
