treeID,x,y
11754,157,43
11755,172,42
11756,190,20
11758,222,41
18954,7,205
18959,151,205
18960,130,190
18961,133,166
18962,134,144
18964,176,205
18966,200,205
36556,104,185
36557,35,205
36558,66,205
36559,93,204
36560,108,142
36561,110,123
36562,113,100
36563,115,74
36564,117,57
36565,44,42
36566,63,43
36567,100,42
36569,122,5
36570,63,21
36571,45,21
52099,91,22
52111,22,22
67733,148,8
67735,1,21
67736,8,22
67738,85,42
67757,137,106
67758,140,77
67759,142,58
67762,27,206
75961,24,42
78254,198,40
