treeID,x,y
19018,193,154
19019,216,146
21372,48,210
21373,39,222
21378,108,177
21379,90,182
21381,79,155
21382,99,147
21383,131,138
21384,212,114
73006,4,20
73009,62,25
73010,64,26
73011,66,27
73012,68,28
73013,70,28
73014,72,28
73015,74,28
73016,76,28
73017,78,28
73018,80,29
73019,83,28
73020,85,28
73021,86,27
73022,88,26
73023,90,26
73024,91,24
73025,93,23
73026,95,22
73027,96,21
73028,98,19
73029,100,18
73030,101,17
73031,102,16
73032,104,15
73033,66,30
73034,77,31
73035,88,30
73039,106,13
73040,107,12
73041,109,10
73042,111,9
73043,118,3
73044,119,2
73045,120,1
73046,121,0
73047,121,0
73255,170,126
73256,176,124
73467,117,3
73507,117,4
78066,133,167
78067,161,161
