treeID,x,y
16617,28,167
16618,26,157
16619,24,169
16620,21,166
16621,16,161
16622,13,177
16623,13,184
16624,14,187
16625,112,187
16626,102,187
16627,77,188
16628,51,188
31317,222,186
31318,155,186
38520,163,160
38521,155,159
38522,146,160
38523,136,160
38524,137,157
38525,124,160
38526,120,157
38527,116,161
38528,116,157
38529,113,159
45756,28,162
47790,13,181
48158,22,174
69801,209,161
69802,109,161
69803,106,158
69804,91,159
69805,87,161
69806,83,160
69807,82,157
69808,77,157
69809,76,160
69810,74,161
69811,67,158
69812,67,161
69813,53,161
69814,52,160
69815,49,158
69816,47,161
69817,40,159
69818,37,161
69819,14,193
69820,13,198
69821,14,202
69822,11,206
69823,14,210
69824,11,212
69825,14,214
