treeID,x,y
5620,182,201
5623,180,27
5624,179,4
5626,205,3
11389,22,105
11390,31,106
11391,15,131
11392,30,132
11393,54,104
11394,73,104
11395,89,104
11396,102,105
11397,119,105
11398,100,132
11399,119,132
11400,152,105
11401,171,104
11402,180,93
11403,181,78
11404,182,63
11405,180,41
11406,139,132
11407,151,132
11408,170,131
11409,180,179
11410,216,130
11413,206,145
11414,215,104
11418,206,63
48949,60,132
50906,206,21
51974,39,131
52998,207,207
54117,205,170
55217,179,152
66174,75,133
74557,205,82
75579,206,41
76499,138,106
