treeID,x,y
20330,53,122
20331,68,148
20332,80,120
20333,97,149
20334,138,152
20335,121,120
20339,186,165
20340,219,178
46622,53,148
46623,81,149
46624,124,153
67012,143,156
67013,13,117
67170,62,117
67171,154,126
67172,156,127
67173,157,125
67174,158,128
67175,154,129
67176,157,131
67177,195,140
67179,200,140
67180,199,141
67181,202,140
67182,201,142
67183,204,144
67184,206,145
67185,143,152
67186,144,153
67187,146,153
67188,147,153
67189,148,154
67190,149,154
67191,150,154
67192,151,154
67193,152,155
67194,153,155
67195,154,155
67196,156,155
67197,161,159
67198,161,157
67199,162,157
67200,164,157
67201,165,157
67202,166,158
67203,167,158
67204,200,170
67205,202,170
67206,203,171
67207,205,172
67208,207,173
67209,209,174
67210,210,174
67211,212,175
67212,214,175
67213,215,176
67214,216,177
82614,9,148
