treeID,x,y
72689,153,14
72800,158,70
72801,157,69
72802,156,67
72803,155,66
72804,154,64
72805,153,63
72806,152,62
72807,151,61
72808,151,60
72809,150,59
72810,150,57
72811,149,56
72812,149,55
72813,148,54
72814,148,53
72815,147,51
72816,147,50
72817,147,49
72818,146,48
72819,146,46
72820,146,45
72821,146,43
72822,146,42
72823,146,41
72824,146,40
72825,146,38
72826,146,37
72827,146,36
72828,146,34
72829,146,33
72830,146,32
72831,147,31
72832,147,30
72833,148,28
72834,148,27
72835,148,26
72836,149,25
72837,149,24
72838,150,23
72839,151,22
72840,151,21
72841,151,19
72842,152,18
72843,152,17
72844,152,16
72845,153,14
72846,154,12
72847,154,11
72848,155,9
72849,155,8
72850,155,7
72851,156,5
72852,156,3
72853,157,1
72854,157,0
