treeID,x,y
1572,42,69
14704,63,157
14713,151,121
14714,120,121
14715,99,122
14716,82,122
14717,71,128
14718,33,125
14719,34,133
14720,33,142
14721,33,147
14722,32,152
14723,32,162
14724,32,172
14725,32,183
14726,32,194
14727,32,204
14728,32,210
14729,32,219
23205,219,101
23209,216,122
23210,195,122
23211,156,121
23212,192,102
23213,167,103
23214,144,103
23215,121,103
23216,97,104
23217,115,43
23218,101,60
23219,84,81
45002,91,24
45028,3,95
45457,77,41
45749,16,112
45750,9,114
51594,64,195
70157,145,3
70406,1,117
