treeID,x,y
5337,11,206
5338,36,212
5339,11,179
5340,38,180
5341,38,156
5342,38,145
5343,11,120
5344,38,119
5345,39,100
5346,56,57
5347,77,57
15839,38,2
23392,39,69
38926,218,197
38933,218,112
38936,219,88
38937,150,55
38939,207,54
43488,218,143
46382,11,146
46453,97,72
67408,163,28
67410,187,28
67411,122,56
67415,63,30
67483,0,29
67484,1,29
67485,3,29
67486,4,28
67487,5,28
67488,7,27
67489,8,26
67490,9,25
67491,9,24
67492,10,23
67493,11,21
67494,11,20
67495,12,17
67496,12,16
67497,12,14
67498,12,12
67499,12,8
67500,12,7
67501,12,5
67502,12,4
67503,12,2
67504,12,1
