treeID,x,y
34845,205,164
34857,213,79
34858,214,83
34859,214,90
34860,214,97
34861,216,110
34862,216,117
34863,218,121
34864,217,125
34865,218,135
34866,221,154
70987,2,189
70988,2,191
70989,3,193
70990,4,196
70991,5,197
70992,6,199
70993,6,200
70994,7,201
70995,7,203
70996,8,205
70997,4,203
70998,6,206
70999,8,206
71000,9,207
71001,9,209
71002,10,210
71003,11,212
71004,11,214
71005,12,215
71006,13,217
71007,13,219
71008,14,220
71009,14,221
71010,15,222
71011,15,223
72090,0,183
72091,1,186
72650,183,16
72651,196,53
72652,194,101
72654,221,201
