treeID,x,y
7222,82,204
7223,83,217
9113,215,186
9114,195,185
9115,179,185
9116,165,185
9117,151,185
9118,137,185
9119,122,185
9120,109,186
9121,97,185
31050,68,8
31051,70,24
31052,71,36
31053,73,66
31054,73,79
31055,74,92
31056,34,76
31057,33,88
31058,34,100
31059,74,106
31060,80,140
31061,214,159
31062,202,159
31063,189,158
31064,176,159
31065,163,158
31066,149,158
31067,134,159
31068,120,158
31069,106,158
31070,91,158
31071,36,123
31072,37,132
31073,37,141
31074,40,176
31075,41,187
31076,42,205
48163,12,60
48165,6,38
52142,77,124
69341,27,3
77298,28,20
