treeID,x,y
3279,50,0
3280,50,6
3282,50,107
72242,50,117
72243,48,124
72244,44,131
72245,40,136
72246,26,148
72247,21,153
72248,16,157
72254,30,170
72256,99,41
72257,103,33
72258,104,29
72259,107,25
72261,123,7
72262,162,1
72328,49,0
72329,49,2
72330,49,4
72331,50,8
72332,50,9
72333,50,11
72334,51,12
72335,51,13
72336,51,14
72337,51,15
72338,52,16
72339,52,18
72340,52,19
72341,52,20
72342,52,21
72343,52,22
72344,52,23
72345,53,24
72346,53,25
72347,53,26
72348,53,28
72349,53,30
72350,54,30
72351,54,32
72352,54,34
72353,55,35
72354,55,36
72355,55,38
72356,55,39
72357,55,40
72358,56,45
72359,56,46
72360,56,47
72361,57,48
72362,57,50
72363,57,51
72364,57,53
72365,58,55
72366,58,57
72367,58,59
72368,58,61
72369,44,81
