treeID,x,y
18999,90,217
19000,55,162
19001,49,158
19002,43,152
70415,131,218
70416,132,216
70417,132,213
70418,132,211
70419,132,208
70420,131,205
70421,131,203
70422,130,201
70423,129,200
70424,129,198
70425,129,197
70426,129,196
70427,129,195
70428,129,194
70429,128,192
70430,128,192
70431,128,191
70432,128,190
70433,128,189
70434,128,187
70435,127,185
70436,100,206
70437,101,207
70438,102,208
70439,103,209
70440,104,210
70441,106,212
70442,107,213
70443,108,214
70444,110,215
70445,111,216
70446,113,218
70447,114,219
70448,115,219
70449,117,221
70450,120,222
70451,122,223
70452,125,222
70453,126,222
70454,128,221
70462,40,171
70463,47,177
70464,54,183
70465,63,191
71080,96,68
71081,95,66
71082,94,63
71083,93,58
71084,92,53
71085,90,49
71087,132,25
72050,113,126
72051,127,183
